"ch" "freq"
"5" "000000000000000000000000000000000000000000010000" 12
"6" "000000000000000000000000000000000000000000100000" 7
"7" "000000000000000000000000000000000000000001000000" 15
"8" "000000000000000000000000000000000000000001000000" 1
"9" "000000000000000000000000000000000000000001010000" 1
"10" "000000000000000000000000000000000000000001100000" 1
"11" "000000000000000000000000000000000000000010000000" 4
"12" "000000000000000000000000000000000000000100000000" 3
"13" "000000000000000000000000000000000000000110000000" 1
"14" "000000000000000000000000000000000000001000000000" 15
"15" "000000000000000000000000000000000000001000000000" 1
"16" "000000000000000000000000000000000000001000000000" 1
"17" "000000000000000000000000000000000000001010000000" 1
"18" "000000000000000000000000000000000000010000000000" 9
"19" "000000000000000000000000000000000000011000000000" 1
"20" "000000000000000000000000000000010000000000000000" 3
"21" "000000000000000000000000000000010000000000010000" 1
"22" "000000000000000000000000000000100000000000000000" 6
"23" "000000000000000000000000000001000000000000000000" 2
"24" "000000000000000000000000000010000000000000000000" 25
"25" "000000000000000000000000000010000000001000000000" 1
"26" "000000000000000000000000000010010000000000000000" 1
"27" "000000000000000000000000000011000000010001000000" 1
"28" "000000000000000000000000000100000000000000000000" 8
"29" "000000000000000000000000000101000000000000000000" 1
"30" "000000000000000000000000001000000000000000000000" 11
"31" "000000000000000000000000001000000000000000000000" 1
"32" "000000000000000000000000001010000000000000000000" 1
"33" "000000000000000000000000001010000000000000000000" 1
"34" "000000000000000000000000001010000000010100000000" 1
"35" "000000000000000000000000010000000000000000000000" 11
"36" "000000000000000000000000010010100000000000010000" 1
"37" "000000000000000000000000010100000000001000000000" 1
"38" "000000000000000000000000100000000000000000000000" 6
"39" "000000000000000000010000000000000000000000000000" 11
"40" "000000000000000000010000000000000000000010000000" 1
"41" "000000000000000000100000000000000000000000000000" 24
"42" "000000000000000000100000000000000000000001000000" 1
"43" "000000000000000000110000000000000000000000000000" 1
"44" "000000000000000001000000000000000000000000000000" 13
"45" "000000000000000010000000000000000000000000000000" 14
"46" "000000000000000010000000000000100000000000000000" 1
"47" "000000000000000010000000001000000000000000000000" 1
"48" "000000000000000010010000000000000000000000000000" 1
"49" "000000000000000011000000000000000000000000000000" 1
"50" "000000000000000100000000000000000000000000000000" 29
"51" "000000000000000100000000000000000000000000000000" 1
"52" "000000000000000100000000000000000000000000000000" 1
"53" "000000000000000100000000000000000000001000000000" 1
"54" "000000000000000100000000000000000000001001000000" 1
"55" "000000000000000100000000000010000000000000000000" 2
"56" "000000000000000100000000000100000000000000000000" 2
"57" "000000000000000100000000001000000000000000000000" 1
"58" "000000000000000100000000100000000000000000000000" 2
"59" "000000000000000100010000000110000000000010000000" 1
"60" "000000000000000100100000000000000000000000000000" 1
